ÍTEM,Tipo,DIRECCIÓN DNP3,VARIABLE,PRUEBA RTU ORION LX+
5,Digital,4,Falla Comu.Eth 2 Dist.S2 S.PED-L.VEGAS 1,
6,Digital,5,Sincr.Ext.Irig-B Dist.S2 S.PED-L.VEGAS 1,
7,Digital,6,Op.Dist.F.A Z.1 S2 S.PEDRO-L.VEGAS 1,
8,Digital,7,Op.Dist.F.B Z.1 S2 S.PEDRO-L.VEGAS 1,
9,Digital,8,Op.Dist.F.C Z.1 S2 S.PEDRO-L.VEGAS 1,
10,Digital,9,Op.Dist.F.N Z.1 S2 S.PEDRO-L.VEGAS 1,
11,Digital,10,Op.Dist.F.A Z.2 S2 S.PEDRO-L.VEGAS 1,
12,Digital,11,Op.Dist.F.B Z.2 S2 S.PEDRO-L.VEGAS 1,
13,Digital,12,Op.Dist.F.C Z.2 S2 S.PEDRO-L.VEGAS 1,
14,Digital,13,Op.Dist.F.N Z.2 S2 S.PEDRO-L.VEGAS 1,
15,Digital,14,Op.Dist.F.A Z.3 S2 S.PEDRO-L.VEGAS 1,
16,Digital,15,Op.Dist.F.B Z.3 S2 S.PEDRO-L.VEGAS 1,
17,Digital,16,Op.Dist.F.C Z.3 S2 S.PEDRO-L.VEGAS 1,
18,Digital,17,Op.Dist.F.N Z.3 S2 S.PEDRO-L.VEGAS 1,
19,Digital,18,Op.Dist.F.A Z.4 S2 S.PEDRO-L.VEGAS 1,
20,Digital,19,Op.Dist.F.B Z.4 S2 S.PEDRO-L.VEGAS 1,
21,Digital,20,Op.Dist.F.C Z.4 S2 S.PEDRO-L.VEGAS 1,
22,Digital,21,Op.Dist.F.N Z.4 S2 S.PEDRO-L.VEGAS 1,
23,Digital,22,Op.Dist.SC Tierr Et.1 S2 S.PED-L.VEGAS 1,
24,Digital,23,Op.Dist.SC Tierr Et.2 S2 S.PED-L.VEGAS 1,
25,Digital,24,Op.Dist.SC Tierr Et.3 S2 S.PED-L.VEGAS 1,
26,Digital,25,Op.Dist.SC Tierr Et.4 S2 S.PED-L.VEGAS 1,
27,Digital,26,Op.Dist.SC Fase Et.1 S2 S.PED-L.VEGAS 1,
28,Digital,27,Op.Dist.SC Fase Et.2 S2 S.PED-L.VEGAS 1,
29,Digital,28,Op.Dist.SC Fase Et.3 S2 S.PED-L.VEGAS 1,
30,Digital,29,Op.Dist.SC Fase Et.4 S2 S.PED-L.VEGAS 1,
31,Digital,30,Arranque Dist.F.A S2 S.PEDRO-L.VEGAS 1,
32,Digital,31,Arranque Dist.F.B S2 S.PEDRO-L.VEGAS 1,
33,Digital,32,Arranque Dist.F.C S2 S.PEDRO-L.VEGAS 1,
34,Digital,33,Arranque Dist.F.N S2 S.PEDRO-L.VEGAS 1,
35,Digital,34,Apert.Protecc.Dist.S2 S.PEDRO-L.VEGAS 1,
36,Digital,35,Gr.Ajuste Activ.Dist.S2 S.PED-L.VEGAS 1,
